address,amount
0x233c5a94bf45fff638af734c7925fd8e2cbf127c,204.45
0x68d78cbab080a6d6c20437fd7f83c41c2c41a16a,228.83
0xf1c893111134f7baa6e7fa40d26622e8b850c36a,119.74
0x0a3e5f0740e65d6eafebe19cba936701d5b650d2,27.01
0xc5da3b9e2c398eec5dcc7cfe8897b61b59c72258,22.00
0x9b5c1268ec21624a8d5972b2976df386fd4170e1,19.06
0x386ea9c0ba6c70d456d6a82887bfd2459d3c5141,17.06
0x8262e84fdd4e4911d49ab33f954018d306034039,11.40
0x86001ba0ea98a08ae8c1ce81d011008075399387,11.29
0x73b221e59c498aecbb00d6324dd1b979776bfb09,10.22
0x00ba9fb57105c94bcb55546add0290d26bee0141,10.18
0x8dd0865bd9532a1320d72b5faeaf08d5d3c9b61c,8.17
0x140e7364ee4e29a677a9d6ccf26ac945e7e80b65,6.81
0xd7877918bdc1c64c73aa22c33d681c67fbb1331e,5.51
0x25cb64aa24f560a0719e92f4ebff2876f0da4267,4.09
0x7e013763e743b573ec4f7d28ecfeab33ef9b1ad8,3.87
0xda62116ffc0da16202fc7bfe1b8ff3ff1c3c27d1,3.58
0x7d7627e0be27d488cc10f88315bc4f2823fb5e35,622.32
0xb78c453472d965426f00b308446cf32639d98547,1.24
0xda9434e626dff1e4d07a8ca20ee856132894e775,1.19
0x9d7246ae0e465515de63f1ca53e5a016da3608e9,1.02
0xe1ca08a23029631890db0e7f3f82bd42af25a3d8,0.55
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0.43
0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0.23
0x06084dab96c870ce266d16e78ee59aae68298fbd,0.05
0xcf5dd4b30bf1702cd14e042064f172175c60f1da,0.04
0x267aeb80f5bcbde3122dda9ab95b422d5d629ed6,"6,410.46"
0xd7d3c2e5576e14aa2fcd8c9b91e13dcff2d30b54,"6,340.50"
0x5e054b452c5a9021696bd4dc46a3f285a5307290,"5,107.67"
0x7d78752274b9c0088bf2b01bc6b5f8e28ff84c33,"4,630.96"
0x4fe8a9e4c11ec472040822b4f1e218034be90b9b,"2,043.07"
0x739ac7e610cfd62cee7d4498025f80c9ec74cd45,"1,188.91"
0xcdb568b33703345de96e751edfadb05c1d025088,"1,130.07"
0xafca8e2986d7f2df9e5bd06c7fde76988fbaf816,408.61
0xe598c65f960a8c39b539f31cabf2c28f1567fd54,352.68
0x0f2ae5cab99e092c239431e086f801525dff95cb,297.30
0xa90dd79acca2eb833e3f5747bd3b6651c70acc31,292.26
0xcd4630e41f4be09fd120e45465cbb1625d3d1f38,223.92
0x78901698464f7abace93af4c6f53725eed88d561,204.31
0xf75e04592533c375bc88f523e89b34e3cbe05810,161.40
0x9121d193f4bb0de8fce14f4431adbd47a62839f5,124.09
0x0548b20c31654fdf9f95f0cd465bc3c9b6b06363,118.03
0xb6923e220a3641f8d16a69fbc549be6c72047f7f,110.34
0x6c344bd50784059a494020ebf0fa025223a920b6,106.79
0x468083a7f80f88af45ed9db92e7c76d918262f58,88.33
0xe75c50aba1e857539212f816d4d95f89fb32ff57,83.18
0x7ac23de43ffe77cfab5bdfcf2f3441f46069ae47,73.75
0x7f7eceede5f97179883ef8f30edf24c50aa5c597,68.69
0x77de74683413785053fa2024ca78e8bab203d964,65.40
0xca174f1b6707381d0f278d515bc3fe115f8c0b27,65.31
0x3d72817882695b1092f1536349621cf8e4b51f3d,58.20
0x6daa8db024ef9a9bd2813b5ab72db4957dbdbc4b,57.52
0x658b0397894f14d876de3fdc9aa45a03711d164a,55.08
0x1cfb40168b8b032fe658754d8c24b239470afc62,53.63
0x09c81f941a7d2b611e84998e9643e18041143312,47.96
0x6744f21df3eb78390d2c624fa832de0fcfe9263c,46.54
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,44.95
0x5d2fa750eb400649c5ee4fcb524aa80cf76abfa3,43.87
0xd34cd8ec914fa3c48521955e55b576aaf0dc897b,43.62
0x39d66fe579130b26fed64187c0ba7fb03079424a,42.30
0xb40369d7599cc014d0eb3b0b21fbeecc227ddd0e,38.31
0xaaa407de6773855dc18c502f74dd2965c4ae291d,36.55
0x02a7cff0ca5819553a9438061f3d90350a0ba82d,33.91
0x0845095a1c112d5cefff5328a481cd90e8b16de4,31.31
0xdb166a18edb8e7b92e2039aa5200a3605c227173,30.68
0xc2312caad523dab7d412b6ca8b8d72b58839d20f,30.19
0x917c2a204ff56c9ade490b2d1f996ae55b06aa4a,30.18
0xd384d537a58e1d375ad1cf2f5ad99ea3f2419fd4,29.83
0x5cd364df460c40588b865d6985f530767263cf84,28.60
0xf023ad00aa599371960de96930102a0c6d282fc6,28.24
0x0608576ea47b265f1f16b8b8383d0508f703a0cb,28.14
0x27b603af7031d52dd683c70e2cf7d41ddcae2326,27.48
0x6a5ab3b6213adfd8d54f77bb3dd16bfea98e1ad5,27.15
0xbd5500787388d525d0ad80d5ba1ad1d7a2cfd82a,26.41
0x3ae569c948a5de6874b4c1d4920aaba79e430acc,25.58
0x7288064ad55d4ed0e74053fb5d7efc67ef028419,24.40
0x4f6c825b580a608c9ac7a8e46f8e931b18a75e1c,24.30
0x75319dcf2f347b4f7c6f9040a50b4253f7e46681,24.19
0x293992a0ec44feffbebec2d3e434c1c595c6cd85,23.35
0x4b9615790a87ceea2879539a60466b04b8f7f4ed,23.05
